cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd	LibraryID	NumberOrganismIDs	AllOrganisms	componentindex
344	1	436.342	1	436.342	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:344###	 	G1,	288.17	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=344	1	1	Spectral Match to 12-Ketodeoxycholic acid from NIST14	1	GNPS-NIST14-MATCHES;	-1
345	1	546.351	1	546.351	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:345###	 	G1,	327.78	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=345	1	1	Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14	1	GNPS-NIST14-MATCHES;	3
346	1	552.35	2	276.675	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:346###	 	G1,	157.14	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=346	1	0	Spectral Match to Ile-Met from NIST14	1	GNPS-NIST14-MATCHES;	4
347	1	333.205	1	333.205	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:347###	 	G1,	279.61	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=347	1	0	Steviol	1	NIST17;	-1
340	1	434.188	1	434.188	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:340###	 	G1,	30.07	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=340	1	0	N/A	0	N/A	-1
341	1	529.295	2	265.147	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:341###	 	G1,	288.26	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=341	1	1	N/A	0	N/A	-1
342	1	445.367	1	445.367	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:342###	 	G1,	348.01	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=342	1	0	Spectral Match to (+)-.alpha.-Tocopherol from NIST14	1	GNPS-NIST14-MATCHES;	6
343	1	830.577	1	830.577	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:343###	 	G1,	244.68	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=343	1	1	N/A	0	N/A	7
810	1	464.282	1	464.282	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:810###	 	G1,	282.14	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=810	1	1	Tauroursodeoxycholic acid	1	NIST17;	8
811	1	953.607	2	477.303	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:811###	 	G1,	164.51	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=811	1	1	N/A	0	N/A	-1
812	1	576.314	2	288.657	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:812###	 	G1,	101.3	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=812	1	0	N/A	0	N/A	10
813	1	470.334	2	235.667	0	1	0	0	0	0	0	Haddad_GNPS_export_3iso_lower-param_deconv.mgf:813###	 	G1,	117.75	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=becf2d31585744048586dabbeb024d9e&view=cluster_details&protein=813	1	0	Spectral Match to Ile-Pro-Lys from NIST14	1	GNPS-NIST14-MATCHES;	4
