	sequences per sample	iteration	ERR537662	ERR537694	ERR537741	ERR537646	ERR537765	ERR537762	ERR537709	ERR537641	ERR537746	ERR537693	ERR537665	ERR537748	ERR537723	ERR537707	ERR537700	ERR537648	ERR537724	ERR537650	ERR537773	ERR537718	ERR537674	ERR537682	ERR537757	ERR537750	ERR537685	ERR537774	ERR537657	ERR537659	ERR537711	ERR537735	ERR537759	ERR537732	ERR537716	ERR537725	ERR537649	ERR537701	ERR537706	ERR537722	ERR537749	ERR537664	ERR537747	ERR537692	ERR537640	ERR537708	ERR537763	ERR537764	ERR537740	ERR537663	ERR537717	ERR537733	ERR537758	ERR537734	ERR537710	ERR537658	ERR537656	ERR537775	ERR537672	ERR537751	ERR537684	ERR537683	ERR537756	ERR537675	ERR537719	ERR537651	ERR537714	ERR537678	ERR537730	ERR537737	ERR537713	ERR537655	ERR537776	ERR537671	ERR537752	ERR537687	ERR537739	ERR537680	ERR537755	ERR537676	ERR537771	ERR537652	ERR537639	ERR537726	ERR537698	ERR537769	ERR537702	ERR537705	ERR537721	ERR537669	ERR537667	ERR537744	ERR537691	ERR537643	ERR537760	ERR537767	ERR537644	ERR537696	ERR537743	ERR537728	ERR537660	ERR537638	ERR537653	ERR537770	ERR537677	ERR537681	ERR537754	ERR537738	ERR537753	ERR537686	ERR537670	ERR537777	ERR537654	ERR537712	ERR537688	ERR537736	ERR537731	ERR537679	ERR537715	ERR537661	ERR537729	ERR537697	ERR537742	ERR537766	ERR537761	ERR537642	ERR537745	ERR537690	ERR537666	ERR537668	ERR537720	ERR537704	ERR537703	ERR537768	ERR537699	ERR537727
alpha_rarefaction_10_0.txt	10	0	2.62664	3.43141	2.96651	3.15518	3.64821	3.44788	3.48616	3.8275	3.08125	2.85757	3.40813	2.24823	2.45926	3.82554	3.33746	3.53695	3.11586	4.71855	1.80591	3.85165	3.33109	2.17951	1.58182	2.15808	3.78758	2.58531	3.43776	3.73497	3.22342	3.30864	3.76439	3.19012	2.60626	3.49302	2.81865	3.20899	3.45926	2.42188	3.52224	3.12656	2.9602	3.18649	3.19151	3.18262	3.00425	2.37669	2.77203	3.19819	3.15759	3.09863	3.28434	2.57998	4.17622	2.72315	3.15068	2.92114	2.90817	2.33216	2.72879	2.9337	1.92242	3.0225	4.0212	2.3897	3.20644	3.06574	2.44459	1.90973	3.84406	3.44024	1.20081	3.56685	1.91833	2.72852	3.50206	2.94587	2.31475	4.67711	3.25655	3.20989	3.04446	3.59613	4.21871	2.20681	4.44535	2.39648	3.62808	3.67797	3.11622	3.00752	2.9018	3.81086	2.31851	3.66932	2.9178	3.24073	3.98818	3.52194	3.61373	3.05263	3.46557	2.80405	3.80058	3.91257	3.64308	3.54849	2.93242	2.94986	3.38042	1.8708	3.16556	3.20866	3.163	1.36859	2.59286	3.82737	3.16912	2.74718	2.48107	3.4744	2.42992	3.1269	3.63156	3.27528	2.35409	2.74342	3.65066	3.69608	2.47603	2.17129	3.74559	3.33303	3.18679	3.91963
alpha_rarefaction_10_1.txt	10	1	3.47306	3.8381	3.64374	4.46561	3.6759	4.1902	3.44526	2.78827	3.00336	3.14794	3.81221	3.35293	1.43667	2.63401	3.34426	2.66569	1.7553	2.74753	1.57819	3.6063	3.82307	1.46823	1.39173	1.74564	3.60443	2.71045	3.39944	3.63341	4.08454	2.56429	3.11565	2.29195	2.88772	3.99917	4.33716	3.94377	2.91277	3.03037	2.4334	3.18536	3.91147	3.42054	2.86915	3.43176	2.72545	2.30944	3.48628	3.05383	3.57826	2.96255	4.37479	2.74864	2.88297	2.77191	3.31909	3.20972	3.88784	3.9862	3.13865	3.09503	2.09012	3.07104	3.33305	3.39538	3.36501	2.55153	2.1034	2.6792	3.10962	3.44913	2.36401	3.63609	3.28919	3.10531	3.71192	2.96898	2.56013	2.97176	2.24808	4.58851	3.65129	3.77426	3.51947	1.80733	2.95568	3.46556	4.27129	3.03383	3.16207	2.75485	2.97481	4.66149	3.35995	2.22902	3.35587	2.82608	3.19887	2.78273	3.11774	2.8482	2.79212	2.38406	2.82653	3.09222	3.57106	3.11673	2.94291	2.36705	2.65347	1.70383	2.64411	3.06377	3.37972	2.05912	3.91019	4.22871	3.05071	3.10187	4.5043	3.65405	3.28499	3.41625	3.07409	3.37078	3.20803	3.1922	3.65332	2.09307	2.96459	3.24009	2.73671	1.99723	3.77843	4.17713
alpha_rarefaction_10_2.txt	10	2	3.07793	3.23744	3.35723	3.0049	4.21937	2.94025	4.03497	2.99094	2.74993	2.93819	2.47052	2.999	4.4096	3.41474	3.15702	3.6122	3.10965	3.60351	2.74859	3.50556	4.16028	3.53646	2.31496	2.30391	2.94709	2.75458	3.6289	3.2132	3.56574	2.25948	2.44042	2.54818	2.5576	2.69832	3.19271	3.04633	3.98306	3.76893	3.29703	2.9072	4.10256	2.32077	3.72348	3.33346	3.71935	3.1327	3.26288	3.86292	3.49449	2.2209	3.86195	2.85806	2.4157	3.52908	2.51387	4.42206	3.09531	2.93906	2.48022	3.28525	2.10667	3.46543	3.20652	2.7771	3.45851	3.30914	2.49927	3.0058	3.31068	3.36893	1.96474	3.87011	2.80917	2.34528	3.09381	3.52207	2.59052	3.74963	1.798	2.69475	2.72897	3.40194	3.60147	4.01196	2.24963	3.16778	3.53878	2.79831	3.66191	2.38587	2.842	3.34738	3.52076	3.34604	3.2681	2.72797	2.54173	3.39695	3.42032	4.22752	3.66155	3.64233	2.62777	3.99604	3.56466	3.37512	2.70774	3.38246	2.83806	1.58182	3.8559	3.33775	2.51935	1.66435	2.43417	3.54648	3.1418	2.52191	2.62935	2.78115	3.83673	3.01801	3.58823	2.7693	4.09671	3.67478	3.19105	3.40666	2.84406	2.98862	3.57228	2.61466	4.16829	3.9025
alpha_rarefaction_10_3.txt	10	3	3.06339	2.8968	3.67678	3.66664	3.37774	3.38934	3.30651	2.38252	2.14578	2.69716	2.9184	2.84799	2.64662	3.23304	2.56796	2.8628	2.66351	4.07878	2.53843	3.67967	2.38982	2.32706	1.24488	1.98296	3.55572	2.85993	3.41738	2.70846	3.5382	1.50701	3.10402	2.49104	3.59966	3.98785	4.05548	3.24957	3.67422	2.99866	3.3755	2.85088	3.29759	3.0608	2.94088	4.10304	3.13045	3.20756	2.55467	3.68033	3.15828	2.61931	3.69855	2.12517	3.41211	2.91009	3.80972	2.44892	3.477	2.31908	2.61028	3.11998	1.91991	2.51804	3.50534	2.80765	3.67547	2.65383	3.96709	3.31517	2.8004	3.1131	1.47683	3.15612	2.12431	2.48206	3.32102	3.11178	2.35762	3.57668	3.2893	4.31466	2.63654	3.40128	3.23665	3.21287	2.81693	3.25123	2.35375	3.19772	2.56887	2.59375	2.7359	3.20495	2.85391	2.77961	3.49655	3.44917	3.19199	2.32801	4.01698	3.19298	2.94713	3.56515	3.19726	3.53569	2.20523	2.81737	3.54425	3.93778	2.43573	1.91453	3.92044	2.09544	3.59925	1.74227	2.47795	3.53057	3.94592	4.11589	3.61563	3.20645	4.10741	2.65153	3.77688	4.23974	3.02852	4.26885	3.90965	2.78024	3.73115	4.23781	2.73685	3.38367	2.57808	2.58444
alpha_rarefaction_10_4.txt	10	4	3.25555	2.53047	3.56457	4.58146	3.85908	4.16823	3.48325	3.31342	2.88228	3.27607	3.25687	1.9244	4.56799	3.64252	3.44134	3.80301	3.92095	3.32779	3.54471	3.91132	3.04002	3.092	1.69712	2.18608	3.32781	3.056	3.40051	3.02105	3.73258	1.79145	3.79478	2.98591	3.77948	3.51563	3.81444	3.59517	3.86307	2.52124	3.97865	3.52314	3.76954	3.65814	3.60284	3.68525	3.80311	2.9513	3.53015	2.37494	2.30553	2.3166	3.25539	2.34065	2.94017	2.89984	3.75597	2.33809	2.26809	2.58177	2.88714	2.95634	2.10422	3.2695	3.93068	3.44469	3.89284	3.44667	2.92585	1.74831	3.59002	2.73934	1.73317	2.86222	3.02969	3.99701	2.98675	3.17544	2.58857	3.27974	1.95112	3.76539	2.96342	3.16593	3.61063	2.92969	3.67999	3.00609	3.40327	3.29021	2.7388	2.82223	3.85894	3.88993	3.33622	3.33822	2.86186	3.68314	3.08161	3.33912	2.60626	3.35892	3.70414	1.68141	3.2438	3.26195	3.05674	3.05285	2.79978	2.51502	3.02265	1.85795	3.10766	3.39518	2.30486	1.02741	3.21921	3.94379	3.77485	3.77177	3.37358	2.58806	3.3345	3.7044	3.74601	2.62417	3.72088	3.18223	3.60612	3.97952	2.73187	2.91331	2.34274	3.29884	3.3914	2.83141
alpha_rarefaction_10_5.txt	10	5	3.07916	2.37193	3.22138	3.29342	3.20511	3.50364	3.49292	2.43104	3.11681	3.57243	3.58347	2.85292	2.57497	3.94028	2.81681	2.90452	2.57559	2.55577	2.8402	3.29109	3.09002	2.4674	2.49758	3.60608	2.92763	1.48174	3.40646	3.05958	3.78772	3.3557	3.38977	4.43757	3.61189	3.09046	3.26277	3.61532	4.08912	3.11889	4.2778	3.72015	3.84802	3.48596	3.1301	2.60527	2.86345	3.00042	2.97607	3.03017	1.91835	1.48105	3.87072	2.62713	3.04543	3.66818	4.27668	2.6511	3.66163	2.90069	2.06924	3.80102	2.07451	2.85183	3.90412	2.70705	3.73456	3.34816	3.0232	2.97754	3.11357	2.83863	1.97959	2.59523	2.97722	3.27241	3.8068	3.35432	2.88895	4.20488	3.31157	3.39163	3.47944	4.13528	3.8452	2.35574	3.16808	3.66746	3.28289	3.62545	2.95511	3.68706	2.95451	3.29529	3.19393	3.74079	3.57675	3.081	2.3703	2.93631	2.90968	2.73433	3.02257	1.57142	3.06603	3.7335	3.2718	3.7694	3.00648	3.63096	3.60915	1.96942	3.47122	3.08986	2.79093	2.52692	3.36586	2.49421	3.63729	3.95524	3.09641	4.12062	3.85885	3.46266	3.58675	3.37201	4.04479	3.3199	3.23282	3.81867	2.47623	3.41353	3.50632	2.80024	4.00668	3.13802
alpha_rarefaction_10_6.txt	10	6	2.69708	3.21744	3.59713	3.6258	3.02034	2.30961	3.27401	3.08066	2.79962	3.14245	2.52424	2.57257	3.77674	3.23074	2.37676	3.65559	2.5126	3.96527	1.84129	2.8325	3.58299	3.35851	1.6598	1.03172	3.59654	2.98783	2.86741	3.54203	3.74618	2.77317	3.50501	2.49925	2.92765	3.41725	2.50799	3.28384	3.81644	3.3169	3.03535	2.29739	3.87655	3.58334	3.28245	3.68768	2.93425	3.84428	2.93097	4.40199	2.82058	1.82499	3.5414	2.1055	2.48047	3.32163	2.95913	1.9238	3.83866	2.08252	2.46704	4.0998	2.03936	2.47498	2.7696	2.74565	3.00581	3.34566	3.01861	2.70113	3.6725	4.03359	1.3842	4.63321	2.83885	3.60206	3.24507	2.3383	2.5905	2.9819	3.45964	3.05688	3.62143	3.21444	4.04964	2.36854	3.90316	3.02185	2.90189	3.64575	2.99791	3.38361	2.89488	2.43189	3.68821	4.07902	3.77466	3.44903	2.84197	2.41091	3.15924	3.25826	3.53531	3.43926	4.33442	2.96792	3.07412	3.89588	2.62579	3.3213	2.54523	1.90952	3.47804	2.71221	3.33577	2.13844	1.77206	3.92973	4.01634	3.5262	2.99433	2.66717	2.67671	3.7163	3.25179	1.94938	3.60274	3.27441	3.85429	2.92357	2.8223	1.66288	3.92151	3.4369	3.52377	3.44459
alpha_rarefaction_10_7.txt	10	7	2.56954	2.27065	4.07504	3.35263	2.74933	4.24815	3.18136	2.5946	3.23651	3.49146	2.88008	2.81984	2.85463	2.75313	3.90758	3.37301	4.22763	2.86589	2.39177	4.21036	3.48502	3.47999	2.02015	2.04123	3.18137	2.7691	3.62025	2.12011	3.31124	1.97515	4.0781	2.96356	3.05749	2.90411	3.62632	3.55316	4.20405	3.37043	3.2081	2.04393	3.29895	3.40613	3.599	3.69854	4.12138	2.44444	2.27718	2.10719	3.09918	2.04	2.4503	2.18792	4.13398	3.33823	3.55598	2.48318	3.90271	3.1591	1.80058	3.31792	1.52692	3.47119	3.053	2.37738	3.37964	3.84579	3.14962	2.52149	3.89283	3.36588	2.75498	3.49788	3.12373	2.88533	4.58269	2.25096	1.75731	3.0683	2.84151	3.42501	3.97	2.76937	3.36773	1.69686	3.19481	4.24485	3.83407	3.32396	3.62484	3.39203	3.39581	2.54362	3.19324	4.68791	2.45515	3.32649	2.90575	2.41336	2.90032	3.90297	3.03864	2.2393	3.33374	4.77839	3.43958	3.32631	2.3678	3.77757	2.62763	1.41914	3.14556	3.46682	3.20747	2.5536	2.29807	3.84593	3.31592	3.92341	2.93673	3.40273	3.24676	4.30331	2.43787	3.19157	3.28955	3.57919	4.14299	4.41477	2.85053	2.73848	3.57585	3.31369	3.1787	3.87145
alpha_rarefaction_10_8.txt	10	8	3.13838	3.32076	3.21529	3.63209	3.29644	3.03077	2.86331	2.62227	4.08274	4.1533	3.35718	2.75721	3.40504	4.05479	3.18273	2.54912	3.29814	3.28988	2.81908	3.6228	3.43063	3.46657	2.39268	1.67494	2.76454	2.60566	2.6598	4.07673	2.60126	1.98652	3.15078	2.82618	3.63243	2.64164	3.99991	4.36087	4.06418	3.41536	3.76589	3.39738	3.4479	3.51304	3.61991	3.76934	2.5712	2.11709	3.42895	2.59013	3.29269	1.87	3.3172	3.28522	4.22406	3.54396	2.6486	2.48199	4.88968	3.92479	2.86406	3.66465	2.58932	2.8747	3.45737	1.97277	3.72261	2.7167	3.91009	3.42653	3.77389	3.21896	1.69193	2.95731	3.92484	2.6151	3.25357	2.16178	3.43072	2.77924	2.25541	3.16933	2.67942	3.95085	4.68627	2.44704	3.61832	3.29462	3.53745	3.05073	2.61915	2.99986	3.48804	4.77284	3.69255	3.35194	2.36503	3.36196	3.46883	4.02326	3.19849	3.09821	3.25703	1.92492	3.31471	4.21185	3.65029	2.78085	2.44107	3.25687	2.59095	1.35389	3.34994	3.6463	3.78104	1.49431	2.56859	4.23856	3.32051	4.16619	3.80787	3.06637	3.11818	3.47959	4.02283	4.12288	3.71059	2.5773	3.89767	2.93085	2.5729	3.03577	3.48961	3.06309	3.16075	3.91793
alpha_rarefaction_10_9.txt	10	9	3.684	2.75617	3.23552	3.91079	3.19606	2.8906	2.95025	2.35071	3.20807	3.24146	3.10323	2.51026	2.95909	3.26441	2.1827	3.64976	3.13214	3.72245	2.78099	3.3712	3.2405	2.5063	2.10193	2.59406	2.99198	2.91707	3.07258	3.24843	3.56364	2.71292	3.27317	2.18701	3.31471	2.56087	2.91726	3.27238	3.70644	3.33725	2.72201	3.29186	3.19753	3.23664	3.116	3.66118	3.18389	2.49695	2.87068	3.14607	2.45466	2.23567	3.57712	3.81031	3.36108	3.4208	2.68549	2.44106	3.56223	3.03833	2.59953	3.2444	1.31346	2.24255	3.79729	2.81446	3.41495	3.68428	2.48772	2.73026	3.23381	2.73318	2.04434	3.4615	3.27366	2.44354	3.39062	2.20814	3.32485	3.49662	2.71712	3.63878	3.28525	3.3024	2.98669	3.29078	2.92892	3.23642	3.36088	3.18336	2.70427	2.84558	3.11603	3.02905	2.88332	2.8864	2.36363	3.14321	3.11969	2.42526	3.25112	3.97761	2.97851	2.43556	2.45865	3.40924	3.44263	3.90871	2.81962	3.05425	3.17197	1.80613	2.58814	2.8183	3.07323	1.94144	2.57842	3.7512	2.76988	3.13612	3.37972	2.70153	3.14658	2.97408	3.02191	2.88969	3.60419	3.86931	2.62692	3.77685	3.96621	3.26692	4.1345	2.9589	3.00189	2.70952
