	sequences per sample	iteration	ERR537662	ERR537694	ERR537741	ERR537646	ERR537765	ERR537762	ERR537709	ERR537641	ERR537746	ERR537693	ERR537665	ERR537748	ERR537723	ERR537707	ERR537700	ERR537648	ERR537724	ERR537650	ERR537773	ERR537718	ERR537674	ERR537682	ERR537757	ERR537750	ERR537685	ERR537774	ERR537657	ERR537659	ERR537711	ERR537735	ERR537759	ERR537732	ERR537716	ERR537725	ERR537649	ERR537701	ERR537706	ERR537722	ERR537749	ERR537664	ERR537747	ERR537692	ERR537640	ERR537708	ERR537763	ERR537764	ERR537740	ERR537663	ERR537717	ERR537733	ERR537758	ERR537734	ERR537710	ERR537658	ERR537656	ERR537775	ERR537672	ERR537751	ERR537684	ERR537683	ERR537756	ERR537675	ERR537719	ERR537651	ERR537714	ERR537678	ERR537730	ERR537737	ERR537713	ERR537655	ERR537776	ERR537671	ERR537752	ERR537687	ERR537739	ERR537680	ERR537755	ERR537676	ERR537771	ERR537652	ERR537639	ERR537726	ERR537698	ERR537769	ERR537702	ERR537705	ERR537721	ERR537669	ERR537667	ERR537744	ERR537691	ERR537643	ERR537760	ERR537767	ERR537644	ERR537696	ERR537743	ERR537728	ERR537660	ERR537638	ERR537653	ERR537770	ERR537677	ERR537681	ERR537754	ERR537738	ERR537753	ERR537686	ERR537670	ERR537777	ERR537654	ERR537712	ERR537688	ERR537736	ERR537731	ERR537679	ERR537715	ERR537661	ERR537729	ERR537697	ERR537742	ERR537766	ERR537761	ERR537642	ERR537745	ERR537690	ERR537666	ERR537668	ERR537720	ERR537704	ERR537703	ERR537768	ERR537699	ERR537727
alpha_rarefaction_10_0.txt	10	0	55.0	23.0	7.0	55.0	23.0	23.0	55.0	23.0	13.0	13.0	13.0	13.0	16.0	55.0	13.0	55.0	12.0	55.0	22.0	55.0	55.0	22.0	4.0	13.0	29.0	12.0	23.0	23.0	23.0	23.0	13.0	23.0	12.0	13.0	23.0	13.0	29.0	9.0	55.0	29.0	23.0	55.0	23.0	23.0	29.0	23.0	55.0	55.0	13.0	29.0	12.0	9.0	55.0	13.0	12.0	55.0	55.0	16.0	13.0	23.0	6.5	23.0	55.0	29.0	23.0	55.0	55.0	12.0	23.0	23.0	5.0	23.0	8.5	29.0	23.0	55.0	29.0	55.0	13.0	12.0	23.0	55.0	55.0	12.0	55.0	29.0	29.0	23.0	23.0	23.0	13.0	55.0	23.0	55.0	23.0	23.0	23.0	13.0	23.0	13.0	55.0	22.0	23.0	55.0	29.0	23.0	23.0	55.0	13.0	6.5	23.0	29.0	23.0	4.5	12.0	23.0	23.0	29.0	8.5	23.0	29.0	23.0	13.0	23.0	12.0	23.0	55.0	55.0	9.0	12.0	23.0	23.0	23.0	23.0
alpha_rarefaction_10_1.txt	10	1	23.0	23.0	55.0	23.0	13.0	23.0	55.0	13.0	55.0	13.0	55.0	55.0	11.0	55.0	55.0	13.0	16.0	9.0	5.0	55.0	55.0	6.5	4.0	8.5	55.0	29.0	55.0	55.0	23.0	29.0	23.0	23.0	29.0	13.0	29.0	23.0	23.0	29.0	29.0	23.0	23.0	55.0	8.5	23.0	55.0	22.0	23.0	23.0	23.0	7.0	55.0	23.0	29.0	23.0	23.0	55.0	55.0	23.0	29.0	23.0	6.5	13.0	12.0	23.0	23.0	13.0	7.0	13.0	23.0	55.0	22.0	55.0	55.0	55.0	23.0	29.0	55.0	23.0	5.33333333333	55.0	55.0	55.0	23.0	9.0	23.0	23.0	23.0	13.0	23.0	12.0	12.0	55.0	23.0	12.0	55.0	13.0	23.0	12.0	23.0	55.0	12.0	12.0	23.0	23.0	23.0	23.0	23.0	23.0	29.0	4.5	29.0	12.0	55.0	4.5	23.0	23.0	13.0	13.0	55.0	23.0	23.0	12.0	29.0	23.0	13.0	13.0	55.0	5.5	13.0	23.0	12.0	7.0	55.0	23.0
alpha_rarefaction_10_2.txt	10	2	55.0	23.0	13.0	22.0	13.0	13.0	23.0	29.0	13.0	8.5	55.0	13.0	55.0	23.0	55.0	55.0	22.0	23.0	23.0	23.0	55.0	55.0	12.0	55.0	55.0	6.2	23.0	55.0	13.0	13.0	23.0	8.5	13.0	7.0	13.0	13.0	55.0	23.0	13.0	13.0	55.0	7.0	55.0	23.0	23.0	23.0	23.0	55.0	23.0	12.0	23.0	29.0	23.0	55.0	23.0	55.0	55.0	29.0	16.0	55.0	7.0	55.0	23.0	23.0	55.0	13.0	29.0	23.0	23.0	23.0	8.0	55.0	12.0	23.0	23.0	29.0	29.0	23.0	11.0	7.0	13.0	55.0	55.0	55.0	12.0	23.0	55.0	23.0	55.0	23.0	7.0	55.0	23.0	55.0	13.0	13.0	9.0	13.0	23.0	55.0	23.0	23.0	55.0	55.0	23.0	23.0	23.0	23.0	55.0	4.0	23.0	23.0	23.0	4.5	16.0	55.0	13.0	12.0	29.0	13.0	23.0	29.0	23.0	13.0	55.0	13.0	13.0	23.0	22.0	13.0	55.0	8.5	55.0	23.0
alpha_rarefaction_10_3.txt	10	3	29.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	22.0	13.0	23.0	55.0	5.5	55.0	13.0	12.0	29.0	23.0	22.0	55.0	13.0	16.0	5.0	8.0	23.0	29.0	23.0	29.0	55.0	9.0	55.0	29.0	23.0	55.0	55.0	55.0	55.0	8.5	55.0	55.0	55.0	55.0	13.0	55.0	12.0	55.0	23.0	23.0	55.0	29.0	55.0	8.5	23.0	23.0	23.0	13.0	23.0	12.0	22.0	23.0	7.0	13.0	29.0	12.0	23.0	55.0	55.0	23.0	23.0	29.0	4.0	55.0	5.0	16.0	23.0	13.0	8.5	29.0	22.0	55.0	12.0	29.0	12.0	12.0	29.0	55.0	9.0	55.0	8.5	29.0	13.0	13.0	23.0	23.0	13.0	23.0	29.0	9.0	23.0	55.0	13.0	13.0	55.0	13.0	13.0	23.0	55.0	55.0	9.0	9.0	55.0	9.0	23.0	4.0	16.0	55.0	55.0	55.0	55.0	55.0	55.0	16.0	23.0	55.0	13.0	23.0	23.0	16.0	23.0	55.0	22.0	13.0	12.0	29.0
alpha_rarefaction_10_4.txt	10	4	29.0	13.0	55.0	55.0	55.0	55.0	55.0	23.0	29.0	55.0	55.0	23.0	55.0	55.0	23.0	55.0	23.0	23.0	29.0	29.0	55.0	55.0	5.0	9.0	23.0	23.0	13.0	23.0	55.0	6.5	23.0	23.0	55.0	29.0	23.0	29.0	13.0	12.0	23.0	55.0	23.0	55.0	55.0	23.0	23.0	23.0	55.0	13.0	16.0	12.0	13.0	12.0	23.0	23.0	55.0	23.0	23.0	9.0	13.0	23.0	11.0	55.0	55.0	29.0	55.0	23.0	9.0	13.0	55.0	13.0	5.5	29.0	55.0	23.0	8.5	23.0	23.0	23.0	4.0	55.0	55.0	8.5	23.0	13.0	13.0	23.0	29.0	23.0	23.0	12.0	55.0	55.0	55.0	23.0	13.0	23.0	29.0	8.5	13.0	23.0	23.0	8.5	55.0	13.0	29.0	8.5	13.0	29.0	22.0	6.5	13.0	23.0	12.0	3.0	12.0	23.0	55.0	55.0	55.0	23.0	23.0	23.0	55.0	23.0	55.0	29.0	55.0	55.0	23.0	23.0	16.0	23.0	23.0	13.0
alpha_rarefaction_10_5.txt	10	5	23.0	8.5	13.0	23.0	12.0	13.0	23.0	7.0	13.0	13.0	23.0	23.0	9.0	29.0	13.0	23.0	12.0	7.0	8.5	13.0	55.0	55.0	22.0	55.0	55.0	4.0	23.0	13.0	55.0	29.0	23.0	23.0	55.0	23.0	55.0	55.0	55.0	13.0	55.0	23.0	23.0	13.0	23.0	13.0	22.0	13.0	29.0	23.0	16.0	8.0	23.0	23.0	55.0	29.0	23.0	12.0	55.0	23.0	16.0	55.0	9.0	13.0	23.0	29.0	55.0	23.0	13.0	12.0	55.0	13.0	9.0	23.0	55.0	13.0	23.0	23.0	23.0	55.0	13.0	23.0	23.0	23.0	23.0	22.0	22.0	55.0	13.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	23.0	55.0	13.0	9.0	8.5	12.0	13.0	5.5	55.0	23.0	23.0	13.0	55.0	55.0	55.0	5.33333333333	23.0	13.0	13.0	16.0	22.0	23.0	55.0	55.0	55.0	55.0	55.0	12.0	13.0	55.0	23.0	13.0	23.0	22.0	23.0	55.0	12.0	8.5	23.0	13.0
alpha_rarefaction_10_6.txt	10	6	13.0	23.0	23.0	29.0	23.0	12.0	23.0	23.0	9.0	55.0	13.0	23.0	23.0	55.0	12.0	23.0	29.0	23.0	8.0	23.0	55.0	13.0	7.0	16.0	13.0	13.0	13.0	55.0	55.0	23.0	55.0	13.0	29.0	23.0	8.5	23.0	23.0	29.0	13.0	29.0	55.0	13.0	29.0	55.0	23.0	55.0	55.0	23.0	12.0	7.0	55.0	23.0	23.0	8.5	13.0	12.0	55.0	9.0	7.0	23.0	6.5	12.0	12.0	13.0	13.0	13.0	29.0	13.0	23.0	29.0	5.33333333333	55.0	12.0	23.0	13.0	9.0	13.0	8.5	12.0	23.0	55.0	13.0	55.0	29.0	55.0	23.0	23.0	55.0	23.0	23.0	13.0	13.0	23.0	13.0	23.0	23.0	13.0	22.0	13.0	23.0	55.0	13.0	23.0	13.0	23.0	55.0	23.0	55.0	9.0	8.0	23.0	23.0	23.0	7.0	11.0	23.0	55.0	55.0	13.0	13.0	12.0	55.0	23.0	29.0	55.0	23.0	55.0	13.0	13.0	6.5	55.0	23.0	23.0	55.0
alpha_rarefaction_10_7.txt	10	7	22.0	12.0	55.0	55.0	12.0	55.0	23.0	23.0	13.0	29.0	13.0	23.0	29.0	23.0	55.0	23.0	55.0	12.0	22.0	55.0	55.0	12.0	12.0	29.0	55.0	12.0	23.0	22.0	29.0	12.0	23.0	13.0	55.0	8.5	23.0	23.0	55.0	23.0	13.0	29.0	55.0	13.0	55.0	55.0	55.0	9.0	29.0	12.0	13.0	8.5	6.2	23.0	55.0	23.0	23.0	23.0	23.0	13.0	6.5	23.0	4.0	13.0	23.0	8.5	13.0	55.0	55.0	23.0	55.0	55.0	8.5	55.0	55.0	23.0	55.0	6.5	13.0	8.5	12.0	9.0	55.0	29.0	29.0	4.0	23.0	55.0	23.0	29.0	55.0	12.0	23.0	23.0	55.0	55.0	8.5	23.0	23.0	6.5	23.0	55.0	13.0	8.0	23.0	55.0	13.0	13.0	13.0	23.0	13.0	4.0	8.5	23.0	55.0	7.0	22.0	55.0	13.0	23.0	29.0	13.0	13.0	23.0	12.0	29.0	23.0	55.0	23.0	55.0	29.0	23.0	55.0	13.0	23.0	55.0
alpha_rarefaction_10_8.txt	10	8	29.0	55.0	23.0	23.0	29.0	23.0	13.0	12.0	55.0	55.0	55.0	23.0	13.0	13.0	23.0	22.0	23.0	13.0	23.0	23.0	55.0	13.0	12.0	7.0	23.0	29.0	23.0	55.0	13.0	12.0	23.0	9.0	55.0	13.0	23.0	55.0	55.0	23.0	55.0	55.0	23.0	23.0	29.0	55.0	29.0	12.0	23.0	22.0	23.0	12.0	29.0	13.0	55.0	13.0	13.0	12.0	55.0	22.0	29.0	55.0	29.0	16.0	55.0	6.5	23.0	13.0	55.0	13.0	55.0	23.0	11.0	23.0	55.0	13.0	23.0	22.0	23.0	12.0	9.0	13.0	23.0	23.0	23.0	12.0	55.0	23.0	23.0	55.0	55.0	23.0	13.0	55.0	55.0	23.0	12.0	13.0	13.0	13.0	23.0	23.0	13.0	5.5	55.0	55.0	13.0	22.0	23.0	13.0	12.0	4.0	23.0	55.0	55.0	6.5	22.0	23.0	23.0	55.0	55.0	23.0	29.0	23.0	55.0	55.0	55.0	29.0	23.0	23.0	13.0	12.0	13.0	29.0	55.0	23.0
alpha_rarefaction_10_9.txt	10	9	55.0	23.0	13.0	55.0	23.0	13.0	13.0	9.0	23.0	55.0	29.0	23.0	23.0	23.0	9.0	55.0	29.0	23.0	12.0	23.0	13.0	13.0	7.0	23.0	23.0	8.5	55.0	23.0	55.0	13.0	23.0	29.0	55.0	8.5	12.0	29.0	55.0	23.0	13.0	23.0	23.0	55.0	23.0	13.0	55.0	29.0	23.0	13.0	12.0	7.0	23.0	55.0	55.0	12.0	12.0	23.0	23.0	12.0	23.0	55.0	3.0	13.0	23.0	29.0	23.0	23.0	23.0	55.0	55.0	12.0	9.0	55.0	23.0	55.0	55.0	9.0	23.0	55.0	6.2	55.0	13.0	13.0	8.5	23.0	23.0	23.0	13.0	13.0	55.0	23.0	13.0	55.0	23.0	13.0	12.0	55.0	29.0	16.0	23.0	23.0	23.0	8.5	9.0	23.0	55.0	23.0	13.0	23.0	13.0	8.0	12.0	29.0	23.0	11.0	12.0	23.0	12.0	55.0	55.0	22.0	23.0	22.0	23.0	23.0	55.0	23.0	13.0	13.0	13.0	23.0	23.0	23.0	13.0	23.0
