	ERR537662	ERR537694	ERR537741	ERR537646	ERR537765	ERR537762	ERR537709	ERR537641	ERR537746	ERR537693	ERR537665	ERR537748	ERR537723	ERR537707	ERR537700	ERR537648	ERR537724	ERR537650	ERR537773	ERR537718	ERR537674	ERR537682	ERR537757	ERR537750	ERR537685	ERR537774	ERR537657	ERR537659	ERR537711	ERR537735	ERR537759	ERR537732	ERR537716	ERR537725	ERR537649	ERR537701	ERR537706	ERR537722	ERR537749	ERR537664	ERR537747	ERR537692	ERR537640	ERR537708	ERR537763	ERR537764	ERR537740	ERR537663	ERR537717	ERR537733	ERR537758	ERR537734	ERR537710	ERR537658	ERR537656	ERR537775	ERR537672	ERR537751	ERR537684	ERR537683	ERR537756	ERR537675	ERR537719	ERR537651	ERR537714	ERR537678	ERR537730	ERR537737	ERR537713	ERR537655	ERR537776	ERR537671	ERR537752	ERR537687	ERR537739	ERR537680	ERR537755	ERR537676	ERR537771	ERR537652	ERR537639	ERR537726	ERR537698	ERR537769	ERR537702	ERR537705	ERR537721	ERR537669	ERR537667	ERR537744	ERR537691	ERR537643	ERR537760	ERR537767	ERR537644	ERR537696	ERR537743	ERR537728	ERR537660	ERR537638	ERR537653	ERR537770	ERR537677	ERR537681	ERR537754	ERR537738	ERR537753	ERR537686	ERR537670	ERR537777	ERR537654	ERR537712	ERR537688	ERR537736	ERR537731	ERR537679	ERR537715	ERR537661	ERR537729	ERR537697	ERR537742	ERR537766	ERR537761	ERR537642	ERR537745	ERR537690	ERR537666	ERR537668	ERR537720	ERR537704	ERR537703	ERR537768	ERR537699	ERR537727
ERR537662	0.0	0.297256332	0.318351552	0.256642958	0.227656209	0.319661554	0.280940142	0.280379517	0.387034394	0.306788385	0.213294763	0.579800054	0.20882576	0.236023528	0.21151001	0.166200755	0.278488704	0.356061406	0.484585888	0.23672873	0.178467698	0.293375492027	0.742042904	0.649065928	0.278032963	0.466977113	0.251149147	0.270860048	0.278779313048	0.447414906316	0.289518857	0.484933204972	0.322386722	0.257274415	0.263756373	0.22343139	0.216314016	0.274510693	0.41030524499	0.199638647924	0.218834833	0.230155152466	0.293769278	0.305457344	0.261932808	0.233012811	0.23690371	0.315669592	0.408714224392	0.572732326073	0.25348424	0.473229745	0.282585518	0.247048018	0.242256101	0.414559795	0.237355695	0.459616112271	0.285578165	0.230359455	0.773812881629	0.229576913	0.327294976	0.361050992	0.219490156	0.254356997	0.374172585	0.511277989285	0.278802889	0.263261498	0.777000374	0.226230921	0.506617249	0.182653684	0.35737279	0.240330113	0.470647464	0.28386604	0.5828217	0.271714535	0.289105251	0.290638807	0.220521802	0.464435313	0.266866042	0.254853884	0.324796248	0.212491166	0.284794513	0.246875657	0.295563115	0.283306108	0.224278874	0.231071789	0.287477594	0.180268212	0.213513834	0.54761394	0.214114767474	0.212570762	0.317858048	0.700379499346	0.240612311	0.267318625	0.435933711	0.311654668215	0.483465135695	0.236847036	0.218343925	0.785864838282	0.235502452	0.227562325137	0.177414583	0.821790608	0.550999329	0.254622498	0.256283525	0.322639168	0.30908431	0.254120483	0.237929869	0.299528972	0.266065465	0.220388808	0.207392904	0.207116722	0.243824732	0.318392817	0.251774589	0.205357406	0.242939728	0.497676225	0.190727063	0.209131816
ERR537694	0.297256332	0.0	0.37920252	0.312494684	0.341958553	0.46389107	0.381818466	0.377665535	0.415756082	0.334450117	0.279931625	0.474736842	0.323518244	0.237867302	0.303140562	0.284984483	0.308465258	0.42749182	0.517011372	0.324255866	0.242309942	0.275402694387	0.676183558	0.552001358	0.254137753	0.461078851	0.339531793	0.367532464	0.391918040762	0.406201015408	0.323073313	0.474573836447	0.41755389	0.361159733	0.283857705	0.31790146	0.308425806	0.460725917	0.49158907821	0.259296837823	0.313171333	0.362349713945	0.349190662	0.302838756	0.290999164	0.286414727	0.28703216	0.306260158	0.43064152146	0.562437818803	0.34391817	0.372516497	0.29186021	0.370848798	0.390437923	0.419453027	0.319658247	0.522398268587	0.267159113	0.343358941	0.696478027154	0.341471951	0.389519508	0.456878858	0.32090274	0.311178487	0.394626591	0.452637621688	0.350530621	0.438414428	0.699282574	0.272805079	0.460077259	0.272480684	0.321819392	0.265908587	0.427858506	0.427309398	0.609128178	0.367976333	0.289863475	0.285878161	0.318846828	0.544055907	0.3120767	0.312050534	0.416321488	0.287288308	0.353400115	0.265235891	0.320827761	0.290835716	0.333624268	0.291850597	0.366099638	0.260692178	0.286158836	0.454551642	0.384971830052	0.297690382	0.372576528	0.614175354476	0.257071329	0.308291379	0.436587457	0.343515666776	0.488721744351	0.317389944	0.289373477	0.72529006741	0.343883296	0.347806572948	0.281751675	0.759690306	0.469921557	0.267051318	0.317041293	0.44035438	0.381030646	0.351742185	0.334079255	0.339015336	0.356911357	0.300807532	0.288506986	0.314879456	0.309316188	0.416086317	0.301359881	0.301935436	0.312800778	0.448384633	0.282159971	0.268024254
ERR537741	0.318351552	0.37920252	0.0	0.260745416	0.252168181	0.334587132	0.377460158	0.389397887	0.284560218	0.399902459	0.311274617	0.585987356	0.359974224	0.370785236	0.309816634	0.280415979	0.383044682	0.272450622	0.548477168	0.264990878	0.330606402	0.38285561105	0.72717487	0.657076704	0.397116887	0.549916217	0.268728775	0.321383372	0.357939476233	0.54269524697	0.253330011	0.558953303396	0.380711272	0.351146445	0.290021989	0.21856122	0.262069696	0.343965399	0.470555594307	0.329446887203	0.308585731	0.351904384268	0.283726	0.281312538	0.36860526	0.372305283	0.303116794	0.359142036	0.513750562215	0.639291646316	0.201947902	0.434915165	0.39791661	0.284766686	0.321359481	0.522611913	0.357570197	0.518992847152	0.398164361	0.313471155	0.77476957606	0.332522715	0.183309462	0.462829458	0.39991184	0.365202177	0.480815365	0.572974485917	0.391761935	0.409051452	0.73602597	0.349687169	0.585757253	0.352078322	0.226253786	0.318750377	0.556792962	0.376517066	0.630546802	0.294009955	0.309215081	0.242271697	0.306511176	0.518160253	0.319925538	0.344764378	0.172419614	0.332678452	0.327624663	0.359280477	0.280933655	0.24521182	0.330619934	0.288551861	0.317347602	0.307437282	0.33352914	0.437434874	0.355572837276	0.26127441	0.273295196	0.702130251158	0.373956675	0.238370715	0.531765413	0.149831572872	0.551218950124	0.316190946	0.350589653	0.770463364364	0.305794018	0.390621359329	0.352093987	0.787830748	0.577436617	0.283366206	0.417036373	0.345821772	0.413035858	0.404880111	0.273686197	0.206054912	0.146071495	0.296274988	0.295931638	0.289352824	0.349547072	0.300179071	0.370059415	0.337156986	0.33551352	0.502438569	0.310048105	0.355308846
ERR537646	0.256642958	0.312494684	0.260745416	0.0	0.254311201	0.330329242	0.31170994	0.282969377	0.307518556	0.409421763	0.294803791	0.579878984	0.325450956	0.318028942	0.293534392	0.186494979	0.364799702	0.286632166	0.55563032	0.294394568	0.247624918	0.348207942539	0.723671818	0.635601536	0.389057129	0.531684363	0.181445333	0.286354396	0.317124105046	0.538215338973	0.279923769	0.55114917448	0.363393438	0.369548403	0.279185861	0.238622954	0.239770702	0.339626659	0.503711834817	0.268126813336	0.241881517	0.356938259602	0.232257314	0.28300153	0.302468148	0.323826533	0.24770798	0.278400812	0.506904790756	0.601254162671	0.263734948	0.469575125	0.364498738	0.273483066	0.153452215	0.514979081	0.315974661	0.506249104102	0.357431767	0.305634439	0.746483853117	0.252076563	0.259579016	0.359017738	0.316848156	0.353448277	0.473448087	0.580978736737	0.387205555	0.306462236	0.721365376	0.300585821	0.585170399	0.294342644	0.30374613	0.314148655	0.564442258	0.31304034	0.61196538	0.217541623	0.288081143	0.286603923	0.311484164	0.528025329	0.259019898	0.375217218	0.265158404	0.222967698	0.282583587	0.317282519	0.305116833	0.18668435	0.243798102	0.234543827	0.237082804	0.228123846	0.287882838	0.47616625	0.345235770851	0.168926682	0.218615922	0.681222276818	0.317739079	0.310840129	0.518171041	0.295346766345	0.567933260937	0.294511038	0.306431815	0.774084088486	0.169488458	0.353804660586	0.285017403	0.783495256	0.579114389	0.235174842	0.360956867	0.267432274	0.368428588	0.383311059	0.279542135	0.243406298	0.238511319	0.212544014	0.315092414	0.279591972	0.302264074	0.285544075	0.330768067	0.28724259	0.310292698	0.501152679	0.269423529	0.32832691
ERR537765	0.227656209	0.341958553	0.252168181	0.254311201	0.0	0.238122587	0.362781529	0.314127356	0.367046837	0.301746106	0.262542996	0.643424393	0.257924259	0.327395115	0.286291863	0.206481756	0.332707163	0.313296499	0.582871061	0.203744685	0.271094765	0.388049042348	0.779219377	0.713757703	0.319103612	0.547001936	0.249690624	0.332450443	0.308247427892	0.553355525508	0.287268206	0.588248440315	0.375135457	0.216395844	0.244678778	0.133275779	0.211653571	0.209010784	0.51232409655	0.300229192745	0.244208632	0.236291395416	0.267229591	0.356247263	0.300569007	0.288757596	0.293560779	0.385205651	0.511100082877	0.621363824736	0.157641405	0.526767406	0.388365279	0.255618351	0.253536316	0.534373808	0.31385824	0.548946802875	0.366170816	0.201987336	0.819177570124	0.264279006	0.256829375	0.375004733	0.309588053	0.355165212	0.483522924	0.610952522189	0.343461504	0.271459311	0.813412473	0.327650412	0.61053159	0.267019359	0.326182835	0.278247222	0.581197841	0.313944921	0.668817517	0.211710432	0.28216537	0.278786814	0.230396213	0.53028454	0.277730381	0.242041387	0.228749167	0.294879495	0.321610168	0.291778728	0.225291022	0.274856855	0.278761401	0.24024103	0.327572497	0.228808847	0.241665131	0.556159161	0.228555672609	0.199974931	0.290731099	0.760009184002	0.340709038	0.222130366	0.546867156	0.2505506611	0.592680441264	0.326399927	0.257364922	0.82206029088	0.277030383	0.345701791965	0.279390122	0.865302243	0.630127862	0.304877731	0.367194234	0.342700557	0.393119349	0.289067684	0.247332952	0.278390971	0.17920759	0.241471829	0.209820423	0.210101119	0.276907275	0.323239466	0.304125718	0.281385403	0.295611095	0.56892862	0.251830576	0.275695993
ERR537762	0.319661554	0.46389107	0.334587132	0.330329242	0.238122587	0.0	0.441157898	0.290863773	0.34688056	0.348827023	0.348091883	0.676065272	0.355817076	0.453969564	0.37306203	0.278327103	0.40706357	0.312074508	0.645041312	0.266219526	0.379388624	0.475953091209	0.808067592	0.708359974	0.432746453	0.582044353	0.286109211	0.367613484	0.377656048502	0.620168770084	0.381267923	0.649766083984	0.443351334	0.287591733	0.315057683	0.286402734	0.327087072	0.212301875	0.573943486982	0.40087943892	0.339717237	0.314091578417	0.2840172	0.45092781	0.413739618	0.368858407	0.34503184	0.49759918	0.597743421471	0.617408200025	0.258346096	0.588081461	0.514374314	0.335749714	0.271177365	0.585517423	0.424682129	0.582158608972	0.428752349	0.283188697	0.780354916001	0.359504169	0.294520634	0.302811148	0.339711368	0.431602331	0.554579301	0.67980831791	0.426441869	0.271555768	0.771013636	0.398195437	0.685349065	0.374597246	0.420778562	0.360825631	0.655637932	0.344765168	0.66571087	0.238169601	0.333156243	0.386056935	0.342077522	0.589321349	0.368884632	0.329655804	0.296962014	0.351283608	0.383913315	0.367879539	0.285965039	0.35600777	0.349159984	0.374196077	0.354284396	0.318617742	0.341942436	0.588726492	0.27140369905	0.267041766	0.331687374	0.752975682664	0.423689845	0.333463521	0.607926457	0.338079319163	0.672478419697	0.358237392	0.341112927	0.860072378077	0.300286306	0.418081151901	0.378860221	0.864847924	0.656248969	0.42553909	0.443280081	0.331117444	0.472945666	0.368599857	0.211324675	0.340305032	0.268234627	0.291173846	0.355155252	0.346221772	0.379996256	0.357994835	0.373210991	0.32941374	0.368708816	0.593589797	0.367532285	0.387479928
ERR537709	0.280940142	0.381818466	0.377460158	0.31170994	0.362781529	0.441157898	0.0	0.335073791	0.381152732	0.444073407	0.319087827	0.577952394	0.294173718	0.298295906	0.26023132	0.318845911	0.296848314	0.44837388	0.462252854	0.381554254	0.286687768	0.296077150588	0.698936784	0.599270738	0.389386409	0.461589635	0.304357453	0.262534932	0.256453853891	0.386711092852	0.351934955	0.446731435359	0.275254452	0.394712493	0.415927627	0.36717194	0.29052581	0.339855537	0.301255923308	0.260764075725	0.263146689	0.314792888201	0.407458118	0.306952522	0.29994175	0.317061031	0.27950508	0.322963456	0.367562592965	0.544776212784	0.3709295	0.458036223	0.272961088	0.287639632	0.312541869	0.410867471	0.224429779	0.399326577213	0.357537117	0.343759323	0.774597960562	0.251569443	0.418628494	0.396912554	0.318568282	0.301798443	0.331917765	0.473063753341	0.296730235	0.371697718	0.745974714	0.270552291	0.483556049	0.306328818	0.404657242	0.323716201	0.439499514	0.277811706	0.524506804	0.368954211	0.428323857	0.365193679	0.316174022	0.397385399	0.23894828	0.374566688	0.37538501	0.305110568	0.254287193	0.328679157	0.429161123	0.310741286	0.256959464	0.249158393	0.330028226	0.252360656	0.323925682	0.556178586	0.333955119546	0.325463064	0.345635114	0.650562490983	0.281905061	0.370108527	0.355251277	0.393720470746	0.481830165097	0.280884356	0.341440885	0.742811483956	0.311975186	0.240278786452	0.301908501	0.790806382	0.505235549	0.253391086	0.284725875	0.279415178	0.252712206	0.354787435	0.383374973	0.30775697	0.346247087	0.293333442	0.359791758	0.366006328	0.328043504	0.431148875	0.300669557	0.29070184	0.268654064	0.479142085	0.309917109	0.322536294
ERR537641	0.280379517	0.377665535	0.389397887	0.282969377	0.314127356	0.290863773	0.335073791	0.0	0.282985507	0.414019434	0.312963216	0.611445391	0.341706649	0.361275085	0.310189019	0.238478566	0.360249603	0.330773035	0.524956355	0.366803043	0.293271349	0.391856571492	0.720963499	0.654917917	0.41776534	0.522208222	0.263894824	0.294151689	0.336451285713	0.510154728576	0.395368566	0.542457393349	0.316381189	0.403082866	0.340928896	0.351780249	0.335338769	0.267851132	0.466244963887	0.302673782834	0.269709804	0.354043970139	0.274147459	0.372263529	0.362382863	0.31267744	0.306740447	0.419847709	0.504225522013	0.553805346601	0.356667399	0.508766732	0.409817979	0.340269481	0.261339434	0.47253842	0.35358419	0.503931306587	0.361011436	0.341319232	0.753210914152	0.27918381	0.330855905	0.160743911	0.307392273	0.38814221	0.441044508	0.568349688661	0.382470992	0.256859889	0.741998315	0.31886574	0.580414214	0.311824065	0.421595031	0.333366198	0.534963873	0.226378767	0.618453679	0.258959828	0.345712066	0.376709308	0.373093803	0.478624124	0.282536533	0.388563751	0.343712099	0.298397039	0.312781906	0.313235914	0.392454776	0.278531541	0.307136675	0.303303804	0.317380687	0.236220397	0.321266459	0.542196333	0.32876612845	0.223048201	0.265042007	0.702699589219	0.312729122	0.393439184	0.495996958	0.398015868202	0.557188770123	0.319937031	0.313592198	0.770385682648	0.281586115	0.337573832237	0.325253272	0.816691295	0.58461443	0.355405965	0.351648782	0.234107065	0.377674113	0.373923558	0.30134709	0.282018251	0.325323926	0.228223519	0.370525443	0.358501113	0.346343915	0.34575802	0.334338848	0.267013549	0.340234589	0.53215043	0.357241446	0.355113877
ERR537746	0.387034394	0.415756082	0.284560218	0.307518556	0.367046837	0.34688056	0.381152732	0.282985507	0.0	0.531253279	0.426349781	0.594331004	0.451860986	0.44002437	0.381302356	0.317082391	0.454474138	0.22421755	0.561264828	0.445550426	0.387917298	0.421620496364	0.703989596	0.657872552	0.521214675	0.540751211	0.256696911	0.346720184	0.377211539671	0.549364829472	0.377129163	0.571663713712	0.359959824	0.499491955	0.336843585	0.362554444	0.360044294	0.400516899	0.512706507744	0.382991149391	0.341671239	0.467410569245	0.231324068	0.273239326	0.459338584	0.424662199	0.384022678	0.434484548	0.551283748269	0.59589468714	0.37563028	0.398593291	0.450104454	0.449257526	0.308160205	0.533571133	0.436628143	0.483942282648	0.466340687	0.469742251	0.736937124499	0.358751625	0.232950142	0.308458774	0.388214024	0.477595653	0.505121973	0.607600351213	0.470194729	0.35919354	0.682494292	0.416346803	0.620670653	0.423041382	0.325227508	0.408575537	0.591418606	0.323795496	0.559914132	0.265025545	0.347613277	0.324241867	0.465615404	0.522290769	0.28701345	0.492402302	0.235857642	0.370091558	0.386886473	0.414622039	0.364378247	0.237626006	0.408925478	0.329187069	0.327580508	0.32012061	0.428717768	0.320147862	0.42504894851	0.266540422	0.1807768	0.6811669452	0.383751997	0.409158177	0.534674133	0.341794368041	0.598111726199	0.369488394	0.423235365	0.748396697022	0.319397492	0.424832845408	0.402759483	0.741193488	0.589326789	0.343661936	0.456582619	0.257249172	0.443719026	0.489625203	0.368957437	0.155755264	0.305944853	0.293018292	0.434244024	0.388355776	0.405726764	0.239405865	0.448818987	0.37726895	0.430573714	0.488913901	0.400592161	0.456447562
ERR537693	0.306788385	0.334450117	0.399902459	0.409421763	0.301746106	0.348827023	0.444073407	0.414019434	0.531253279	0.0	0.253872038	0.559926393	0.273373963	0.305125683	0.310375179	0.331475014	0.291933945	0.457501233	0.578833261	0.257833571	0.324628893	0.386482820547	0.744444047	0.611403851	0.229981168	0.488299308	0.416596008	0.414632285	0.402411182211	0.444626178056	0.388260616	0.515090555267	0.506581535	0.216129252	0.277928386	0.298887685	0.335322419	0.30738978	0.541025064451	0.365483794563	0.37461815	0.209194329004	0.405121273	0.413184171	0.308461995	0.272490228	0.335406103	0.437808023	0.474440819677	0.562912095992	0.313854151	0.513217908	0.374041197	0.312341591	0.405626216	0.43809042	0.40428015	0.586527841365	0.25330717	0.25071897	0.776852174565	0.414889932	0.407226687	0.478272867	0.308123723	0.365852192	0.432094586	0.526195295079	0.314778322	0.379280389	0.783611199	0.37101642	0.519103564	0.246067279	0.403320237	0.224556916	0.478781509	0.472523345	0.693495037	0.392745808	0.302597026	0.317456494	0.265178599	0.601830106	0.408400941	0.190407197	0.441855569	0.328343485	0.428631496	0.243256978	0.244772532	0.426888765	0.355052189	0.382257224	0.376451113	0.371872611	0.252438051	0.598462707	0.24052139973	0.368756359	0.476818169	0.679520265559	0.32597809	0.288081516	0.48594829	0.350642946101	0.560913063881	0.323685121	0.225880588	0.788525266802	0.360234119	0.334642055877	0.293468034	0.828413227	0.52251634	0.411231259	0.33185806	0.493550645	0.398793787	0.236212832	0.287097078	0.446579095	0.362463514	0.355219133	0.265266335	0.313141607	0.319206223	0.426154144	0.267181644	0.307410989	0.292902063	0.535351866	0.315898108	0.248456503
