#SampleID	BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	host_body_site_s	miscellaneous_parameter_s	disease	day	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	environment_biome_s	environment_feature_s	environment_material_s	environmental_package_s	geographic_location_country_and_or_sea_s	geographic_location_latitude_s	geographic_location_longitude_s	host_common_name_s	host_diet_s	host_sex_s	host_taxid_s	investigation_type_s	library_construction_method_s	nucleic_acid_extraction_s	project_name_s	sample_storage_temperature_s	sequencing_method_s
ERR537638	SAMEA2603590	ERX502841	17	11	ERR537638	ERS481550	Lund Chronic Parasite 2014_1	Cecum content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537639	SAMEA2603591	ERX502842	14	9	ERR537639	ERS481551	Lund Chronic Parasite 2014_2	Cecum content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537640	SAMEA2603592	ERX502843	12	8	ERR537640	ERS481552	Lund Chronic Parasite 2014_3	Cecum content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537642	SAMEA2603594	ERX502845	13	8	ERR537642	ERS481554	Lund Chronic Parasite 2014_5	Cecum content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537644	SAMEA2603596	ERX502847	11	7	ERR537644	ERS481556	Lund Chronic Parasite 2014_7	Cecum content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537641	SAMEA2603593	ERX502844	9	6	ERR537641	ERS481553	Lund Chronic Parasite 2014_4	Cecum content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537643	SAMEA2603595	ERX502846	15	10	ERR537643	ERS481555	Lund Chronic Parasite 2014_6	Cecum content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537645	SAMEA2603597	ERX502848	4	3	ERR537645	ERS481557	Lund Chronic Parasite 2014_8	Cecum content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537646	SAMEA2603598	ERX502849	12	8	ERR537646	ERS481558	Lund Chronic Parasite 2014_9	Cecum content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537647	SAMEA2603599	ERX502850	8	5	ERR537647	ERS481559	Lund Chronic Parasite 2014_10	Cecum content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537653	SAMEA2603605	ERX502856	11	8	ERR537653	ERS481565	Lund Chronic Parasite 2014_16	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537654	SAMEA2603606	ERX502857	16	11	ERR537654	ERS481566	Lund Chronic Parasite 2014_17	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537655	SAMEA2603607	ERX502858	13	8	ERR537655	ERS481567	Lund Chronic Parasite 2014_18	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537648	SAMEA2603600	ERX502851	12	8	ERR537648	ERS481560	Lund Chronic Parasite 2014_11	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
ERR537649	SAMEA2603601	ERX502852	15	10	ERR537649	ERS481561	Lund Chronic Parasite 2014_12	Colon content	Uninfected day 0	Uninfected	0	AMPLICON	500	PRJEB6560	COPENHAGEN UNIVERSITY	public	292	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	5/7/15	Mus musculus	ILLUMINA	5/7/15	ERP006108	2013-06	Terrestrial biome ENVO:00000446	mammalia-associated habitat ENVO:00009002	organic material ENVO:01000155	host-associated	Sweden	43.63871944	-116.2413513	C57BL/6	Chow	male	10090	metagenome	"Caporaso et al. 2012-The ISME Journal (2012) 6, 1621-1624"	Macheray-Nagel NucleoSpin Soil DNA Extraction Kit (doi:101371/journal.pone.0067699)	Lund Chronic Parasite 2014	-80	Illumina Miseq
