#SampleID	BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	geo_loc_name_s	host_subject_id_s	lat_lon_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	env_biome_s	env_feature_s	env_material_s	g1k_analysis_group_s	g1k_pop_code_s	host_s	source_s
SRR3224324	SAMN04546488	SRX1630769	egkHLT01	3/14/16	46	22	SRR3224324	SRS1338218	egkHLT01	27-May-12	Egypt	egkHLT01	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224325	SAMN04546489	SRX1630770	egkHLT02	3/14/16	38	18	SRR3224325	SRS1338217	egkHLT02	22-May-12	Egypt	egkHLT02	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224326	SAMN04546498	SRX1630771	egkHLT12	3/14/16	37	18	SRR3224326	SRS1338216	egkHLT12	27-May-12	Egypt	egkHLT12	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224327	SAMN04546499	SRX1630772	egkHLT14	3/14/16	11	5	SRR3224327	SRS1338215	egkHLT14	27-May-12	Egypt	egkHLT14	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224328	SAMN04546500	SRX1630773	egkHLT15	3/14/16	12	5	SRR3224328	SRS1338214	egkHLT15	22-May-12	Egypt	egkHLT15	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224329	SAMN04546501	SRX1630774	egkHLT16	3/14/16	11	5	SRR3224329	SRS1338213	egkHLT16	27-May-12	Egypt	egkHLT16	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224330	SAMN04546502	SRX1630775	egkHLT17	3/14/16	32	15	SRR3224330	SRS1338212	egkHLT17	28-May-12	Egypt	egkHLT17	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224331	SAMN04546503	SRX1630776	egkHLT19	3/14/16	13	6	SRR3224331	SRS1338211	egkHLT19	27-May-12	Egypt	egkHLT19	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224332	SAMN04546504	SRX1630777	egkHLT20	3/14/16	26	12	SRR3224332	SRS1338210	egkHLT20	22-May-12	Egypt	egkHLT20	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224333	SAMN04546505	SRX1630778	egkHLT22	3/14/16	20	9	SRR3224333	SRS1338209	egkHLT22	28-May-12	Egypt	egkHLT22	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
SRR3224334	SAMN04546506	SRX1630779	egkHLT23	3/14/16	11	5	SRR3224334	SRS1338208	egkHLT23	22-May-12	Egypt	egkHLT23	30.0500 N 31.2333 E	AMPLICON	<not provided>	PRJNA314988	MIMS.me	<not provided>	public	0	SINGLE	PCR	GENOMIC	gut metagenome	ILLUMINA	1/12/17	SRP071741	urban biome	anthropogenic feature	feces	<not provided>	<not provided>	Homo sapiens	<not provided>
