#SampleID	BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collected_by_s	collection_date_s	g1k_analysis_group_s	g1k_pop_code_s	geographic_location_country_and_or_sea_s	geographic_location_region_and_locality_s	host_s	source_s	GI location	loc	sex	id	location
ERR1596920	SAMEA4393859	ERX1667487	3	2	ERR1596920	ERS1305308	TAS_ENA121	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Mouth	1	m	m1	1
ERR1596921	SAMEA4393860	ERX1667488	2	1	ERR1596921	ERS1305309	TAS_ENA122	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Esophagus	2	m	m1	1
ERR1596922	SAMEA4393861	ERX1667489	2	1	ERR1596922	ERS1305310	TAS_ENA123	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Stomach	3	m	m1	1
ERR1596923	SAMEA4393862	ERX1667490	3	2	ERR1596923	ERS1305311	TAS_ENA124	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Duodenum	4	m	m1	1
ERR1596924	SAMEA4393863	ERX1667491	4	2	ERR1596924	ERS1305312	TAS_ENA125	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Ileum	5	m	m1	1
ERR1596925	SAMEA4393864	ERX1667492	5	3	ERR1596925	ERS1305313	TAS_ENA126	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Distal Caecum	6	m	m1	1
ERR1596926	SAMEA4393865	ERX1667493	4	3	ERR1596926	ERS1305314	TAS_ENA127	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Proximal Caecum	7	m	m1	1
ERR1596927	SAMEA4393866	ERX1667494	5	3	ERR1596927	ERS1305315	TAS_ENA128	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Colon	8	m	m1	1
ERR1596928	SAMEA4393867	ERX1667495	5	4	ERR1596928	ERS1305316	TAS_ENA129	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Rectum	9	m	m1	1
ERR1596929	SAMEA4393868	ERX1667496	5	3	ERR1596929	ERS1305317	TAS_ENA130	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Feces	10	m	m1	1
ERR1596930	SAMEA4393869	ERX1667497	3	2	ERR1596930	ERS1305318	TAS_ENA131	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Mouth	1	f	f1	1
ERR1596931	SAMEA4393870	ERX1667498	3	2	ERR1596931	ERS1305319	TAS_ENA132	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Esophagus	2	f	f1	1
ERR1596932	SAMEA4393871	ERX1667499	3	2	ERR1596932	ERS1305320	TAS_ENA133	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Stomach	3	f	f1	1
ERR1596933	SAMEA4393872	ERX1667500	3	2	ERR1596933	ERS1305321	TAS_ENA134	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Duodenum	4	f	f1	1
ERR1596934	SAMEA4393873	ERX1667501	2	2	ERR1596934	ERS1305322	TAS_ENA135	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Ileum	5	f	f1	1
ERR1596935	SAMEA4393874	ERX1667502	4	3	ERR1596935	ERS1305323	TAS_ENA136	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Distal Caecum	6	f	f1	1
ERR1596936	SAMEA4393875	ERX1667503	5	4	ERR1596936	ERS1305324	TAS_ENA137	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Proximal Caecum	7	f	f1	1
ERR1596937	SAMEA4393876	ERX1667504	5	3	ERR1596937	ERS1305325	TAS_ENA138	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Colon	8	f	f1	1
ERR1596938	SAMEA4393877	ERX1667505	5	3	ERR1596938	ERS1305326	TAS_ENA139	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Rectum	9	f	f1	1
ERR1596939	SAMEA4393878	ERX1667506	5	3	ERR1596939	ERS1305327	TAS_ENA140	AMPLICON	<not provided>	PRJEB15238	TAICHI SUZUKI	public	0	SINGLE	PCR	METAGENOMIC	unspecified	9/1/16	Mus musculus	ILLUMINA	8/29/16	ERP016947	Taichi A. Suzuki	19-Sep-12	<not provided>	<not provided>	USA	"Tucson, AZ"	Mus musculus	<not provided>	Feces	10	f	f1	1
