#SampleID	BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	isolation_source_s	type	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	collection_date_s	cultured_location_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	host_s	lat_lon_s	source_s
SRR3708167	SAMN05277842	SRX1868851	97	70	SRR3708167	SRS1519620	ENV_EFP1	UR1 Egested fecal pellet sample	feces	AMPLICON	<not provided>	PRJNA326427	Metagenome or environmental	UNIVERSITY OF ALABAMA AT BIRMINGHAM	public	0	PAIRED	PCR	METAGENOMIC	<not provided>	6/21/16	gut metagenome	ILLUMINA	6/22/16	SRP076869	2014-10	Environmental sea urchin samples	<not provided>	<not provided>	"USA: Port Saint Joseph, Florida"	Lytechinus variegatus	29.80 N 85.36 W	<not provided>
SRR3708170	SAMN05277843	SRX1868857	75	52	SRR3708170	SRS1519624	ENV_EFP2	UR2 Egested fecal pellet sample	feces	AMPLICON	<not provided>	PRJNA326427	Metagenome or environmental	UNIVERSITY OF ALABAMA AT BIRMINGHAM	public	0	PAIRED	PCR	METAGENOMIC	<not provided>	6/21/16	gut metagenome	ILLUMINA	6/22/16	SRP076869	2014-10	Environmental sea urchin samples	<not provided>	<not provided>	"USA: Port Saint Joseph, Florida"	Lytechinus variegatus	29.80 N 85.36 W	<not provided>
SRR3708179	SAMN05277844	SRX1868867	66	46	SRR3708179	SRS1519633	ENV_EFP3	UR3 Egested fecal pellet sample	feces	AMPLICON	<not provided>	PRJNA326427	Metagenome or environmental	UNIVERSITY OF ALABAMA AT BIRMINGHAM	public	0	PAIRED	PCR	METAGENOMIC	<not provided>	6/21/16	gut metagenome	ILLUMINA	6/22/16	SRP076869	2014-10	Environmental sea urchin samples	<not provided>	<not provided>	"USA: Port Saint Joseph, Florida"	Lytechinus variegatus	29.80 N 85.36 W	<not provided>
SRR3708282	SAMN05277845	SRX1868883	63	43	SRR3708282	SRS1519649	ENV_GFP1	UR1 Gut Digesta sample	digesta	AMPLICON	<not provided>	PRJNA326427	Metagenome or environmental	UNIVERSITY OF ALABAMA AT BIRMINGHAM	public	0	PAIRED	PCR	METAGENOMIC	<not provided>	6/21/16	gut metagenome	ILLUMINA	6/22/16	SRP076869	2014-10	Environmental sea urchin samples	<not provided>	<not provided>	"USA: Port Saint Joseph, Florida"	Lytechinus variegatus	29.80 N 85.36 W	<not provided>
SRR3708283	SAMN05277846	SRX1868884	68	46	SRR3708283	SRS1519650	ENV_GFP2	UR2 Gut Digesta sample	digesta	AMPLICON	<not provided>	PRJNA326427	Metagenome or environmental	UNIVERSITY OF ALABAMA AT BIRMINGHAM	public	0	PAIRED	PCR	METAGENOMIC	<not provided>	6/21/16	gut metagenome	ILLUMINA	6/22/16	SRP076869	2014-10	Environmental sea urchin samples	<not provided>	<not provided>	"USA: Port Saint Joseph, Florida"	Lytechinus variegatus	29.80 N 85.36 W	<not provided>
SRR3708284	SAMN05277847	SRX1868885	54	37	SRR3708284	SRS1519651	ENV_GFP3	UR3 Gut Digesta sample	digesta	AMPLICON	<not provided>	PRJNA326427	Metagenome or environmental	UNIVERSITY OF ALABAMA AT BIRMINGHAM	public	0	PAIRED	PCR	METAGENOMIC	<not provided>	6/21/16	gut metagenome	ILLUMINA	6/22/16	SRP076869	2014-10	Environmental sea urchin samples	<not provided>	<not provided>	"USA: Port Saint Joseph, Florida"	Lytechinus variegatus	29.80 N 85.36 W	<not provided>
SRR3708285	SAMN05277848	SRX1868886	43	29	SRR3708285	SRS1519652	ENV_GUT1	UR1 Gut Tissue sample	gut	AMPLICON	<not provided>	PRJNA326427	Metagenome or environmental	UNIVERSITY OF ALABAMA AT BIRMINGHAM	public	0	PAIRED	PCR	METAGENOMIC	<not provided>	6/21/16	gut metagenome	ILLUMINA	6/22/16	SRP076869	2014-10	Environmental sea urchin samples	<not provided>	<not provided>	"USA: Port Saint Joseph, Florida"	Lytechinus variegatus	29.80 N 85.36 W	<not provided>
SRR3708297	SAMN05277849	SRX1868891	59	40	SRR3708297	SRS1519655	ENV_GUT2	UR2 Gut Tissue sample	gut	AMPLICON	<not provided>	PRJNA326427	Metagenome or environmental	UNIVERSITY OF ALABAMA AT BIRMINGHAM	public	0	PAIRED	PCR	METAGENOMIC	<not provided>	6/21/16	gut metagenome	ILLUMINA	6/22/16	SRP076869	2014-10	Environmental sea urchin samples	<not provided>	<not provided>	"USA: Port Saint Joseph, Florida"	Lytechinus variegatus	29.80 N 85.36 W	<not provided>
SRR3708318	SAMN05277850	SRX1868912	45	31	SRR3708318	SRS1519678	ENV_GUT3	UR3 Gut Tissue sample	gut	AMPLICON	<not provided>	PRJNA326427	Metagenome or environmental	UNIVERSITY OF ALABAMA AT BIRMINGHAM	public	0	PAIRED	PCR	METAGENOMIC	<not provided>	6/21/16	gut metagenome	ILLUMINA	6/22/16	SRP076869	2014-10	Environmental sea urchin samples	<not provided>	<not provided>	"USA: Port Saint Joseph, Florida"	Lytechinus variegatus	29.80 N 85.36 W	<not provided>
SRR3708342	SAMN05277851	SRX1868937	67	48	SRR3708342	SRS1519703	ENV_PHA1	UR1 Pharynx Tissue sample	pharynx	AMPLICON	<not provided>	PRJNA326427	Metagenome or environmental	UNIVERSITY OF ALABAMA AT BIRMINGHAM	public	0	PAIRED	PCR	METAGENOMIC	<not provided>	6/21/16	gut metagenome	ILLUMINA	6/22/16	SRP076869	2014-10	Environmental sea urchin samples	<not provided>	<not provided>	"USA: Port Saint Joseph, Florida"	Lytechinus variegatus	29.80 N 85.36 W	<not provided>
